DatasetFile,ImageID,Topic,Subset,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL,Rotation,PerceptualHash
image_1375.hdf5,175721259,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/0/0e/A_clash_of_worlds_-_The_SGR_train_travels_over_the_Nairobi_National_park_on_elevated_railway.jpg,https://commons.wikimedia.org/wiki/File:A_clash_of_worlds_-_The_SGR_train_travels_over_the_Nairobi_National_park_on_elevated_railway.jpg,CC BY 4.0,,Shadychiri,File:A clash of worlds - The SGR train travels over the Nairobi National park on elevated railway.jpg,"(6000, 4000)",0bcf722d25e829d93216e2c50c77f4f4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/A_clash_of_worlds_-_The_SGR_train_travels_over_the_Nairobi_National_park_on_elevated_railway.jpg/1920px-A_clash_of_worlds_-_The_SGR_train_travels_over_the_Nairobi_National_park_on_elevated_railway.jpg,0,3f1f1f090c440b26
image_1376.hdf5,142681768,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/3/36/Kikuyu_White-eye%2C_Nairobi_National_Park%2C_Kenya.jpg,"https://commons.wikimedia.org/wiki/File:Kikuyu_White-eye,_Nairobi_National_Park,_Kenya.jpg",CC BY 4.0,,TonyCastro,"File:Kikuyu White-eye, Nairobi National Park, Kenya.jpg","(1050, 789)",3884d51489cc9ee367ced56e2aa235c5,https://upload.wikimedia.org/wikipedia/commons/3/36/Kikuyu_White-eye%2C_Nairobi_National_Park%2C_Kenya.jpg,0,982873d178e0a4e4
image_1377.hdf5,194617443,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/4/40/Roofless_214-216_Stapleton_Road%2C_Bristol_-_June_2026.jpg,"https://commons.wikimedia.org/wiki/File:Roofless_214-216_Stapleton_Road,_Bristol_-_June_2026.jpg",CC BY 4.0,,Captain Galaxy,"File:Roofless 214-216 Stapleton Road, Bristol - June 2026.jpg","(3456, 2304)",b68f6c33f1435124be4d5617df9e189f,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Roofless_214-216_Stapleton_Road%2C_Bristol_-_June_2026.jpg/1920px-Roofless_214-216_Stapleton_Road%2C_Bristol_-_June_2026.jpg,0,489017030305159b
image_1378.hdf5,183039632,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/0/0a/Kitakyushu_%28%E5%8C%97%E4%B9%9D%E5%B7%9E%29%2C_Fukuoka_Prefecture%2C_Japan_%F0%9F%87%AF%F0%9F%87%B5_-_Kitakyushu_Municipal_Museum_of_Art_exterior_3_February_2026.jpg,"https://commons.wikimedia.org/wiki/File:Kitakyushu_(%E5%8C%97%E4%B9%9D%E5%B7%9E),_Fukuoka_Prefecture,_Japan_%F0%9F%87%AF%F0%9F%87%B5_-_Kitakyushu_Municipal_Museum_of_Art_exterior_3_February_2026.jpg",CC BY 4.0,,Sharon Hahn Darlin,"File:Kitakyushu (北九州), Fukuoka Prefecture, Japan 🇯🇵 - Kitakyushu Municipal Museum of Art exterior 3 February 2026.jpg","(2764, 2968)",6f76e934cf37d4488ecfd13cb3d4c576,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Kitakyushu_%28%E5%8C%97%E4%B9%9D%E5%B7%9E%29%2C_Fukuoka_Prefecture%2C_Japan_%F0%9F%87%AF%F0%9F%87%B5_-_Kitakyushu_Municipal_Museum_of_Art_exterior_3_February_2026.jpg/1920px-Kitakyushu_%28%E5%8C%97%E4%B9%9D%E5%B7%9E%29%2C_Fukuoka_Prefecture%2C_Japan_%F0%9F%87%AF%F0%9F%87%B5_-_Kitakyushu_Municipal_Museum_of_Art_exterior_3_February_2026.jpg,0,5f3f6b67693b249a
image_1379.hdf5,150356697,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/c/ce/Snare_Mountain_-_a_pile_of_wire_snares_and_wheel_traps_in_Murchison_Falls_National_Park.jpg,https://commons.wikimedia.org/wiki/File:Snare_Mountain_-_a_pile_of_wire_snares_and_wheel_traps_in_Murchison_Falls_National_Park.jpg,CC BY 4.0,,Paul Hilton,File:Snare Mountain - a pile of wire snares and wheel traps in Murchison Falls National Park.jpg,"(1200, 800)",39e3e59b86e952f32461188366f83bf4,https://upload.wikimedia.org/wikipedia/commons/c/ce/Snare_Mountain_-_a_pile_of_wire_snares_and_wheel_traps_in_Murchison_Falls_National_Park.jpg,0,9b6b6149dc9525a0
image_1380.hdf5,123202305,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/d/d1/Banded_Kestrel%2C_Ifaty_National_Park%2C_Madagascar_1.jpg,"https://commons.wikimedia.org/wiki/File:Banded_Kestrel,_Ifaty_National_Park,_Madagascar_1.jpg",CC BY 4.0,https://www.inaturalist.org/people/paul_prior,paul_prior,"File:Banded Kestrel, Ifaty National Park, Madagascar 1.jpg","(2048, 1433)",5c79dcd3b9fe33b32e15a411dd903928,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Banded_Kestrel%2C_Ifaty_National_Park%2C_Madagascar_1.jpg/1920px-Banded_Kestrel%2C_Ifaty_National_Park%2C_Madagascar_1.jpg,0,46762637b79793cb
image_1381.hdf5,90763884,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/e/e8/Hypsipetes_crassirostris%2C_Vall%C3%A9e_de_Mai_National_Park%2C_Praslin_Island%2C_December_2019_02.jpg,"https://commons.wikimedia.org/wiki/File:Hypsipetes_crassirostris,_Vall%C3%A9e_de_Mai_National_Park,_Praslin_Island,_December_2019_02.jpg",CC BY 4.0,,Yulia Kolosova,"File:Hypsipetes crassirostris, Vallée de Mai National Park, Praslin Island, December 2019 02.jpg","(2680, 1872)",9ed766437b137fcee0a892ca1f279d2e,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Hypsipetes_crassirostris%2C_Vall%C3%A9e_de_Mai_National_Park%2C_Praslin_Island%2C_December_2019_02.jpg/1920px-Hypsipetes_crassirostris%2C_Vall%C3%A9e_de_Mai_National_Park%2C_Praslin_Island%2C_December_2019_02.jpg,0,a6623a188b33082b
image_1382.hdf5,173883820,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/6/6f/Duomo%2C_Milan_Italy_2.jpg,"https://commons.wikimedia.org/wiki/File:Duomo,_Milan_Italy_2.jpg",CC BY 4.0,,Cestsalam,"File:Duomo, Milan Italy 2.jpg","(4000, 3000)",8f24835753580938aaa2208fa121d405,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Duomo%2C_Milan_Italy_2.jpg/1920px-Duomo%2C_Milan_Italy_2.jpg,0,554d0f0f1b95949d
image_1383.hdf5,191439159,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/d/d2/%28Diselma_archeri_trees_in_Mount_Field_National_Park%2C_Australia%29_-_DPLA_-_75135b58f4bce0f518918e7025700834.jpg,"https://commons.wikimedia.org/wiki/File:(Diselma_archeri_trees_in_Mount_Field_National_Park,_Australia)_-_DPLA_-_75135b58f4bce0f518918e7025700834.jpg",CC BY 4.0,,"Carlquist, Sherwin John, 1930-2021","File:(Diselma archeri trees in Mount Field National Park, Australia) - DPLA - 75135b58f4bce0f518918e7025700834.jpg","(1500, 1007)",1b2d3b7a90d404347cad2725be89f5fb,https://upload.wikimedia.org/wikipedia/commons/d/d2/%28Diselma_archeri_trees_in_Mount_Field_National_Park%2C_Australia%29_-_DPLA_-_75135b58f4bce0f518918e7025700834.jpg,0,7bf7f3d9d3d244cd
image_1384.hdf5,108191384,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/9/92/Painted_Dragon_Little_Desert_National_Park%2C_Victoria.jpg,"https://commons.wikimedia.org/wiki/File:Painted_Dragon_Little_Desert_National_Park,_Victoria.jpg",CC BY 4.0,,Ricky-Lee Erickson<br>Museums Victoria,"File:Painted Dragon Little Desert National Park, Victoria.jpg","(3000, 2250)",2b79912fcaec1b003d3fcd95a209f226,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Painted_Dragon_Little_Desert_National_Park%2C_Victoria.jpg/1920px-Painted_Dragon_Little_Desert_National_Park%2C_Victoria.jpg,0,3aa6949231089012
image_1385.hdf5,163163195,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/7/7b/Nelson_Mandela_University_Nature_conservation.jpg,https://commons.wikimedia.org/wiki/File:Nelson_Mandela_University_Nature_conservation.jpg,CC BY 4.0,,LiBDi,File:Nelson Mandela University Nature conservation.jpg,"(3024, 4032)",000f86de482017f9aa399d0c113c40c4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Nelson_Mandela_University_Nature_conservation.jpg/1920px-Nelson_Mandela_University_Nature_conservation.jpg,0,92181c540b332508
image_1386.hdf5,166466565,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/4/4e/Grimberg_natural_monument_Scots_pine_%28Pinus_sylvestris%29.jpg,https://commons.wikimedia.org/wiki/File:Grimberg_natural_monument_Scots_pine_(Pinus_sylvestris).jpg,CC BY 4.0,,Pinecone23,File:Grimberg natural monument Scots pine (Pinus sylvestris).jpg,"(3824, 3984)",e0cf6e86633b51dd5e370fa969a87e33,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Grimberg_natural_monument_Scots_pine_%28Pinus_sylvestris%29.jpg/1920px-Grimberg_natural_monument_Scots_pine_%28Pinus_sylvestris%29.jpg,0,66b591d87426e7c7
image_1387.hdf5,148908527,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/f/f1/Caguanes_National_Park_Aerial_View.jpg,https://commons.wikimedia.org/wiki/File:Caguanes_National_Park_Aerial_View.jpg,CC BY 4.0,,"(c) Jared Shorma, some rights reserved (CC BY)",File:Caguanes National Park Aerial View.jpg,"(1536, 2048)",7f39249eedfc5a5564bdec51a8913961,https://upload.wikimedia.org/wikipedia/commons/f/f1/Caguanes_National_Park_Aerial_View.jpg,0,9f9d4c46c3a4dfcf
image_1388.hdf5,150336948,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/4/4f/Nacionalni_park_by_Mihaila.jpg,https://commons.wikimedia.org/wiki/File:Nacionalni_park_by_Mihaila.jpg,CC BY 4.0,,Mihailajevtic1,File:Nacionalni park by Mihaila.jpg,"(1184, 1776)",41e5def271256c1e28a4c6eb0df49d58,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Nacionalni_park_by_Mihaila.jpg/960px-Nacionalni_park_by_Mihaila.jpg,0,0ffe090136890b14
image_1389.hdf5,68644923,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/b/b3/Sequoya_National_forest_Giant_Forest_en2016_%2830%29.JPG,https://commons.wikimedia.org/wiki/File:Sequoya_National_forest_Giant_Forest_en2016_(30).JPG,CC BY 4.0,https://commons.wikimedia.org/wiki/User:Pierre_Andr%C3%A9_Leclercq,Pierre André Leclercq,File:Sequoya National forest Giant Forest en2016 (30).JPG,"(3331, 2213)",ba1e68a4d17a022a70340599851c25d8,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Sequoya_National_forest_Giant_Forest_en2016_%2830%29.JPG/1920px-Sequoya_National_forest_Giant_Forest_en2016_%2830%29.JPG,0,5414962c491b2b2b
image_1390.hdf5,170943907,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/d/d3/Wikimedian_Amitabha_Gupta_photographing_the_old_building_of_Sanskrit_College_during_Wiki_Explores_Cooch_Behar_-_II_02.jpg,https://commons.wikimedia.org/wiki/File:Wikimedian_Amitabha_Gupta_photographing_the_old_building_of_Sanskrit_College_during_Wiki_Explores_Cooch_Behar_-_II_02.jpg,CC BY 4.0,,Kingshuk Mondal,File:Wikimedian Amitabha Gupta photographing the old building of Sanskrit College during Wiki Explores Cooch Behar - II 02.jpg,"(4000, 3000)",d4f673de8006cfdb5e4834690a03d481,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Wikimedian_Amitabha_Gupta_photographing_the_old_building_of_Sanskrit_College_during_Wiki_Explores_Cooch_Behar_-_II_02.jpg/1920px-Wikimedian_Amitabha_Gupta_photographing_the_old_building_of_Sanskrit_College_during_Wiki_Explores_Cooch_Behar_-_II_02.jpg,0,8fcac08191848e98
image_1391.hdf5,178577320,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/3/34/Wicklow_Mountains_National_Park_in_Autumn.jpg,https://commons.wikimedia.org/wiki/File:Wicklow_Mountains_National_Park_in_Autumn.jpg,CC BY 4.0,,Jmm733,File:Wicklow Mountains National Park in Autumn.jpg,"(1284, 786)",a9b01fabb996e6c804fe0b94f7874abe,https://upload.wikimedia.org/wikipedia/commons/3/34/Wicklow_Mountains_National_Park_in_Autumn.jpg,0,4d31270f0c980f0e
image_1392.hdf5,64876466,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/f/ff/Komal_Alimentation_G%C3%A9n%C3%A9ral-_corner_store_on_Avenue_Daniel_Boon_73_%28intersection_with_Rue_Francois_Bekaert%29_in_Auderghem%2C_Belgium%2C_view_from_outside_in_the_evening.jpg,"https://commons.wikimedia.org/wiki/File:Komal_Alimentation_G%C3%A9n%C3%A9ral-_corner_store_on_Avenue_Daniel_Boon_73_(intersection_with_Rue_Francois_Bekaert)_in_Auderghem,_Belgium,_view_from_outside_in_the_evening.jpg",CC BY 4.0,,Trougnouf,"File:Komal Alimentation Général- corner store on Avenue Daniel Boon 73 (intersection with Rue Francois Bekaert) in Auderghem, Belgium, view from outside in the evening.jpg","(4161, 3270)",1f3dfbc4108c3d1cb350ec757d8fae93,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Komal_Alimentation_G%C3%A9n%C3%A9ral-_corner_store_on_Avenue_Daniel_Boon_73_%28intersection_with_Rue_Francois_Bekaert%29_in_Auderghem%2C_Belgium%2C_view_from_outside_in_the_evening.jpg/1920px-thumbnail.jpg,0,3771700e0f160e8f
image_1393.hdf5,101303921,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/9/97/The_Mansions%2C_Mount_Moffatt%2C_Carnarvon_National_Park.jpg,"https://commons.wikimedia.org/wiki/File:The_Mansions,_Mount_Moffatt,_Carnarvon_National_Park.jpg",CC BY 4.0,,Neville McManimm,"File:The Mansions, Mount Moffatt, Carnarvon National Park.jpg","(960, 640)",b291f7c468bad971e2c8766a4ba3e3b8,https://upload.wikimedia.org/wikipedia/commons/9/97/The_Mansions%2C_Mount_Moffatt%2C_Carnarvon_National_Park.jpg,0,32088d65a4a3ce66
image_1394.hdf5,85247324,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/3/34/Novell_interior_and_outside_of_window_exterior_Florham_Park_New_Jersey_office_--_5_September_1995.jpg,https://commons.wikimedia.org/wiki/File:Novell_interior_and_outside_of_window_exterior_Florham_Park_New_Jersey_office_--_5_September_1995.jpg,CC BY 4.0,,Jonathan Schilling,File:Novell interior and outside of window exterior Florham Park New Jersey office -- 5 September 1995.jpg,"(894, 788)",392f6a90ccd84b1c4be9b03bccb76691,https://upload.wikimedia.org/wikipedia/commons/3/34/Novell_interior_and_outside_of_window_exterior_Florham_Park_New_Jersey_office_--_5_September_1995.jpg,0,3d3d3d3b3b3b332d
image_1395.hdf5,74035036,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/0/02/Close_wing_position_of_Ypthima_cantliei_Norman%2C_1958_%E2%80%93_Great_Four-ring.jpg,"https://commons.wikimedia.org/wiki/File:Close_wing_position_of_Ypthima_cantliei_Norman,_1958_%E2%80%93_Great_Four-ring.jpg",CC BY 4.0,,Gayatri_dutta,"File:Close wing position of Ypthima cantliei Norman, 1958 – Great Four-ring.jpg","(4096, 2730)",07efce1e27fefab8b72a906ae2d96c01,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Close_wing_position_of_Ypthima_cantliei_Norman%2C_1958_%E2%80%93_Great_Four-ring.jpg/1920px-Close_wing_position_of_Ypthima_cantliei_Norman%2C_1958_%E2%80%93_Great_Four-ring.jpg,0,1c14d12b2587130e
image_1396.hdf5,125808484,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/a/a8/En_exteri%C3%B6r_p%C3%A5_I6_sjukhus_GMSF.021643.jpg,https://commons.wikimedia.org/wiki/File:En_exteri%C3%B6r_p%C3%A5_I6_sjukhus_GMSF.021643.jpg,CC BY 4.0,https://commons.wikimedia.org/wiki/User:Theodor_Kehrer,Theodor Kehrer,File:En exteriör på I6 sjukhus GMSF.021643.jpg,"(2556, 1845)",d86c971a9a426553b2ce1bd5add06b9f,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/En_exteri%C3%B6r_p%C3%A5_I6_sjukhus_GMSF.021643.jpg/1920px-En_exteri%C3%B6r_p%C3%A5_I6_sjukhus_GMSF.021643.jpg,0,4048e0d59c8c9c50
image_1397.hdf5,148450070,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/8/8a/Death_Valley_National_Park_sign.jpg,https://commons.wikimedia.org/wiki/File:Death_Valley_National_Park_sign.jpg,CC BY 4.0,,AramilFeraxa,File:Death Valley National Park sign.jpg,"(4608, 3456)",633e4e1ec87136171c45ce1fe586315b,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Death_Valley_National_Park_sign.jpg/1920px-Death_Valley_National_Park_sign.jpg,0,38dcccd9f888f87c
image_1398.hdf5,97110448,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/8/88/Hive_in_Tree.jpg,https://commons.wikimedia.org/wiki/File:Hive_in_Tree.jpg,CC BY 4.0,,Mbrickn,File:Hive in Tree.jpg,"(963, 932)",8748008e6b2cf78702176435ac5612f4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Hive_in_Tree.jpg/960px-Hive_in_Tree.jpg,0,4ff5f0e6dae4783c
image_1399.hdf5,83468012,nature_landscape,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/3/3d/Mabian_Dafengding_National_Nature_Reserve_%2810.3897-zookeys.807.29237%29_Figure_10.jpg,https://commons.wikimedia.org/wiki/File:Mabian_Dafengding_National_Nature_Reserve_(10.3897-zookeys.807.29237)_Figure_10.jpg,CC BY 4.0,https://doi.org/10.3897/zookeys.807.29237,https://doi.org/10.3897/zookeys.807.29237,File:Mabian Dafengding National Nature Reserve (10.3897-zookeys.807.29237) Figure 10.jpg,"(1512, 1134)",98f314fa59674370ac3c8ae9fcf24081,https://upload.wikimedia.org/wikipedia/commons/3/3d/Mabian_Dafengding_National_Nature_Reserve_%2810.3897-zookeys.807.29237%29_Figure_10.jpg,0,09834faf47092103
image_1400.hdf5,166374376,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/5/5f/Orsz%C3%A1gh%C3%A1z_a_Szabads%C3%A1g_t%C3%A9r_fel%C5%91l_n%C3%A9zve.jpg,https://commons.wikimedia.org/wiki/File:Orsz%C3%A1gh%C3%A1z_a_Szabads%C3%A1g_t%C3%A9r_fel%C5%91l_n%C3%A9zve.jpg,CC BY 4.0,,Ronolator,File:Országház a Szabadság tér felől nézve.jpg,"(4000, 6000)",2d951abde8b8b9ec904aea134f6d790b,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Orsz%C3%A1gh%C3%A1z_a_Szabads%C3%A1g_t%C3%A9r_fel%C5%91l_n%C3%A9zve.jpg/1920px-Orsz%C3%A1gh%C3%A1z_a_Szabads%C3%A1g_t%C3%A9r_fel%C5%91l_n%C3%A9zve.jpg,0,3f133339670f8f8f
image_1401.hdf5,177662795,building_exterior,wikimedia_commons,https://upload.wikimedia.org/wikipedia/commons/f/fe/Grinnell_College_reunion_outside_Noyce_after_a_serious_windstorm_came_through.jpg,https://commons.wikimedia.org/wiki/File:Grinnell_College_reunion_outside_Noyce_after_a_serious_windstorm_came_through.jpg,CC BY 4.0,,Mattsjc,File:Grinnell College reunion outside Noyce after a serious windstorm came through.jpg,"(4032, 3024)",8b6f4b7eda932996933f9a4b4cadae0f,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Grinnell_College_reunion_outside_Noyce_after_a_serious_windstorm_came_through.jpg/1920px-Grinnell_College_reunion_outside_Noyce_after_a_serious_windstorm_came_through.jpg,0,7c67535233b17d6f
